date,open,high,low,close
2018-11-26,3994.418821674,4091.502639136,3665.565456655,3801.729366908
2018-11-27,3800.600009341,3873.26585313,3679.708116943,3835.016589512
2018-11-28,3837.958523137,4377.61022591,3837.958523137,4256.464556195
2018-11-29,4255.275505341,4429.730210043,4152.042746816,4295.392322703
2018-11-30,4303.987285033,4331.594554471,3968.034994522,4030.04449364
2018-12-01,4036.229874753,4288.118114861,3977.624455728,4208.46972294
2018-12-02,4206.215757456,4291.695878947,4118.785078199,4143.979048443
2018-12-03,4150.827310223,4162.639731237,3868.407784677,3905.390426541
2018-12-04,3905.489738693,4080.018654926,3847.851236503,3959.996646343
2018-12-05,3965.3634989,3973.938520171,3777.504597679,3778.644100458
2018-12-06,3772.882544916,3880.130150169,3530.420581097,3530.420581097
2018-12-07,3524.903843125,3524.903843125,3279.326879568,3424.127676352
2018-12-08,3429.741618038,3498.503410095,3328.189753409,3465.344048723
2018-12-09,3457.41952613,3669.370224454,3438.48601509,3586.572260842
2018-12-10,3583.500415102,3620.702269676,3425.449092033,3464.835870669
2018-12-11,3462.686886235,3475.454580667,3364.134935808,3394.21870318
2018-12-12,3397.148741644,3515.635434451,3380.722528793,3471.915386863
2018-12-13,3475.395333172,3480.817679557,3302.788527099,3314.35176623
2018-12-14,3315.712262686,3334.267258125,3199.344540762,3236.700910153
2018-12-15,3239.810072381,3269.710129726,3188.542616892,3244.865925479
2018-12-16,3242.71165726,3304.752077103,3237.496112093,3259.040241951
2018-12-17,3260.535478026,3576.130761016,3256.286666292,3520.007340181
2018-12-18,3519.644005652,3671.091738368,3458.156901189,3671.041341474
2018-12-19,3672.828563746,3910.052394847,3656.799274105,3719.296166218
2018-12-20,3716.951289636,4149.982112244,3701.497818021,4103.258581528
2018-12-21,4104.6300826,4179.461009081,3823.730152349,3872.495181716
2018-12-22,3869.320912253,3986.988101713,3836.166472087,3985.947864559
2018-12-23,3992.590689234,4061.599528447,3956.035483518,3980.147519
2018-12-24,3974.488113207,4218.506382222,3974.488113207,4049.134021718
2018-12-25,4052.351427424,4053.801000601,3741.532556251,3789.436638331
2018-12-26,3801.990623677,3872.508799306,3751.58202965,3833.455304379
2018-12-27,3837.103067651,3850.984987181,3633.371831014,3651.165345688
2018-12-28,3642.816541604,3931.006116306,3637.996492977,3902.734263248
2018-12-29,3909.576362079,3951.326013396,3832.098961469,3832.098961469
2018-12-30,3800.90618573,3885.944595624,3783.461120121,3863.165983794
2018-12-31,3863.966826435,3865.30943988,3727.103166881,3746.123952537
2019-01-01,3747.289081962,3857.66134997,3720.528270248,3851.181614039
2019-01-02,3852.524625595,3944.482760725,3825.302832139,3938.625960795
2019-01-03,3935.381479108,3935.381479108,3828.512307784,3843.996640326
2019-01-04,3847.083953482,3888.22508878,3795.299371612,3877.816631752
2019-01-05,3876.743901004,3928.92500025,3850.442903945,3866.004563615
