year_month,rate
1956-01,0.374531835205895
1956-02,0.374531835205895
1956-03,0.374531835205895
1956-04,0.749063670411789
1956-05,1.12359550561768
1956-06,1.87265917602947
1956-07,2.23880597014948
1956-08,1.86567164179137
1956-09,1.85873605947988
1956-10,2.2304832713757
1956-11,2.2304832713757
1956-12,2.98507462686571
1957-01,2.98507462686571
1957-02,3.35820895522382
1957-03,3.73134328358193
1957-04,3.71747211895895
1957-05,3.70370370370355
1957-06,3.30882352941172
1957-07,3.28467153284665
1957-08,3.6630036630035
1957-09,3.28467153284665
1957-10,2.90909090909094
1957-11,3.27272727272721
1957-12,2.89855072463772
1958-01,3.62318840579695
1958-02,3.24909747292413
1958-03,3.59712230215813
1958-04,3.58422939068086
1958-05,3.21428571428567
1958-06,2.84697508896802
1958-07,2.47349823321567
1958-08,2.12014134275563
1958-09,2.12014134275563
1958-10,2.12014134275563
1958-11,2.11267605633824
1958-12,1.76056338028123
1959-01,1.3986013986018
1959-02,1.04895104895078
1959-03,0.347222222222133
1959-04,0.346020761246341
1959-05,0.346020761246341
1959-06,0.692041522491927
1959-07,0.689655172413612
1959-08,1.03806228373751
1959-09,1.3840830449831
1959-10,1.73010380622868
1959-11,1.37931034482722
1959-12,1.73010380622868
1960-01,1.03448275862042
1960-02,1.73010380622868
1960-03,1.73010380622868
1960-04,1.72413793103403
1960-05,1.72413793103403
1960-06,1.71821305841879
1960-07,1.36986301369827
1960-08,1.36986301369827
1960-09,1.02389078498267
1960-10,1.36054421768746
1960-11,1.36054421768746
1960-12,1.36054421768746
1961-01,1.70648464163853
1961-02,1.36054421768746
1961-03,1.36054421768746
1961-04,1.01694915254285
1961-05,1.01694915254285
1961-06,0.675675675676238
1961-07,1.35135135135174
1961-08,1.01351351351399
1961-09,1.35135135135174
1961-10,0.671140939597139
1961-11,0.671140939597139
1961-12,0.671140939597139
1962-01,0.671140939597139
1962-02,1.00671140939571
1962-03,1.00671140939571
1962-04,1.34228187919428
1962-05,1.34228187919428
1962-06,1.34228187919428
1962-07,0.999999999999738
1962-08,1.33779264214012
1962-09,1.33333333333298
1962-10,1.33333333333298
1962-11,1.33333333333298
1962-12,1.33333333333298
1963-01,1.33333333333298
1963-02,0.996677740863527
1963-03,1.3289036544847
1963-04,0.99337748344345
1963-05,0.99337748344345
1963-06,1.32450331125793
1963-07,1.3201320132017
1963-08,1.3201320132017
1963-09,0.98684210526362
1963-10,1.31578947368459
1963-11,1.31578947368459
1963-12,1.64473684210556
1964-01,1.64473684210556
1964-02,1.64473684210556
1964-03,1.31147540983644
1964-04,1.31147540983644
1964-05,1.31147540983644
1964-06,1.30718954248404
1964-07,1.30293159609086
1964-08,0.977198697068147
1964-09,1.30293159609086
1964-10,0.974025974025719
1964-11,1.29870129870096
1964-12,0.970873786407514
1965-01,0.970873786407514
1965-02,0.970873786407514
1965-03,1.29449838187669
1965-04,1.61812297734586
1965-05,1.61812297734586
1965-06,1.93548387096794
1965-07,1.60771704180093
1965-08,1.93548387096794
1965-09,1.60771704180093
1965-10,1.92926045016097
1965-11,1.60256410256439
1965-12,1.92307692307712
1966-01,1.92307692307712
1966-02,2.5641025641026
1966-03,2.55591054313103
1966-04,2.86624203821652
1966-05,2.86624203821652
1966-06,2.53164556962028
1966-07,2.84810126582273
1966-08,3.48101265822763
1966-09,3.48101265822763
1966-10,3.78548895899024
1966-11,3.78548895899024
1966-12,3.45911949685513
1967-01,3.45911949685513
1967-02,2.81249999999995
1967-03,2.80373831775696
1967-04,2.47678018575855
1967-05,2.78637770897896
1967-06,2.77777777777772
1967-07,2.76923076923072
1967-08,2.44648318042817
1967-09,2.7522935779816
1967-10,2.43161094224927
1967-11,2.73556231003035
1967-12,3.03951367781143
1968-01,3.64741641337424
1968-02,3.95136778115532
1968-03,3.93939393939425
1968-04,3.92749244713022
1968-05,3.91566265060204
1968-06,4.20420420420376
1968-07,4.49101796407199
1968-08,4.47761194029864
1968-09,4.46428571428585
1968-10,4.74777448071223
1968-11,4.73372781065096
1968-12,4.71976401179948
1969-01,4.39882697947163
1969-02,4.67836257309947
1969-03,5.24781341107862
1969-04,5.52325581395332
1969-05,5.50724637681143
1969-06,5.47550432276705
1969-07,5.44412607449839
1969-08,5.71428571428546
1969-09,5.69800569800545
1969-10,5.66572237960316
1969-11,5.93220338983082
1969-12,6.19718309859179
1970-01,6.17977528089912
1970-02,6.14525139664765
1970-03,5.81717451523576
1970-04,6.0606060606063
1970-05,6.04395604395628
1970-06,6.01092896174825
1970-07,5.97826086956484
1970-08,5.40540540540518
1970-09,5.66037735849086
1970-10,5.63002680965178
